t / s;s_A1 / m
0,02;0,1213
0,06;0,247
0,1;0,1686
0,14;0,1613
0,18;0,1217
0,22;0,2184
0,26;0,1259
0,3;0,2128
0,34;0,1698
0,38;0,1656
0,42;0,1656
0,46;0,1656
0,5;0,1656
0,54;0,1656
0,58;0,1656
0,62;0,2085
0,66;0,1777
0,7;0,211
0,74;0,2268
0,78;0,2038
0,82;0,1654
0,86;0,2019
0,98;0,156
1,02;0,1874
1,58;0,126
1,62;0,126
1,66;0,1259
1,7;0,1259
1,74;0,1259
1,78;0,1259
1,82;0,1259
1,86;0,1259
1,9;0,1259
1,94;0,1259
2,26;0,2311
2,3;0,2549
2,62;0,126
2,66;0,2315
2,7;0,126
3,1;0,2281
3,26;0,1417
3,3;0,1828
3,34;0,2159
3,38;0,2662
3,42;0,3224
3,46;0,3765
3,5;0,4883
3,54;0,484
3,58;0,5483
3,7;0,7775
3,74;0,8552
3,78;0,9379
3,9;0,9637
3,94;0,9561
3,98;0,9525
4,02;0,9491
4,06;0,9501
4,1;0,9479
4,14;0,9553
4,18;0,9496
4,22;0,9396
4,26;0,9376
4,3;0,9391
4,34;0,9359
4,38;0,9362
4,42;0,9451
4,46;0,9673
4,5;0,9703
4,54;0,938
4,58;0,9121
4,62;0,8943
4,66;0,9196
4,7;0,9377
4,82;0,8624
4,86;0,4619
4,9;0,4973
4,94;0,8438
4,98;0,8214
5,02;1,1862
5,06;0,8823
5,1;1,1775
5,14;0,8599
5,18;1,1043
5,22;1,1861
5,26;0,4406
5,3;0,8467
5,34;0,8149
5,38;0,8043
5,42;0,7684
5,46;0,7996
5,5;0,782
5,54;1,1946
5,58;0,5756
5,62;0,4926
5,66;0,4593
5,7;0,4197
5,74;0,444
5,78;1,1816
5,82;1,1773
5,86;1,1689
5,9;1,1729
5,94;1,1602
5,98;1,1772
6,02;1,1902
6,06;1,1772
6,1;1,1774
6,14;1,1902
6,18;1,186
6,22;1,1773
6,26;0,4408
6,3;1,1731
6,34;0,4372
6,38;0,4408
6,42;1,1814
6,46;0,235
6,5;0,1649
6,54;0,2149
6,58;0,1252
6,7;0,1837
6,74;0,1722
6,78;0,1138
6,82;0,1932
6,86;0,1849
7,02;0,1829
7,06;0,1868
7,1;0,2064
7,14;0,1962
7,18;0,1917
7,22;0,1894
7,26;0,1956
7,3;0,1869
7,34;0,1978
7,38;0,1851
7,42;0,1723
7,46;0,1645
7,5;0,1602
7,54;0,1601
7,58;0,1601
7,62;0,1602
7,66;0,1602
7,7;0,1602
7,74;0,1601
7,78;0,1602
7,82;0,1604
7,86;0,1657
7,98;0,215
8,02;0,1256
8,14;0,1975
8,18;0,2023
8,22;0,1945
8,26;0,2161
8,3;0,2032
8,34;0,1903
8,38;0,1906
8,42;0,1907
8,46;0,1906
8,5;0,1906
8,54;0,1864
8,58;0,1864
8,62;0,1864
8,66;0,1906
8,7;0,238
8,74;0,1295
8,86;0,1305
8,9;0,1565
8,94;0,133
8,98;0,1745
9,02;0,2083
9,06;0,2465
9,1;0,3205
9,14;0,3411
9,18;0,3922
9,22;0,4576
9,26;0,5179
9,3;0,5787
9,34;0,6589
9,38;0,717
9,42;0,8018
9,46;0,8844
9,58;0,9477
9,62;0,9563
9,66;0,9521
9,7;0,9503
9,74;0,9479
9,78;0,9464
9,82;0,9454
9,86;0,9453
9,9;0,9453
9,94;0,9497
9,98;0,9457
10,02;0,9415
10,06;0,946
10,1;0,9507
10,14;0,9513
10,18;0,9478
10,22;0,9483
10,26;0,9487
10,3;0,9489
10,34;0,9488
10,38;0,9488
10,42;0,9489
10,46;0,9445
10,5;0,839
10,54;0,9532
10,58;0,9489
10,62;0,9489
10,66;0,6015
10,7;0,9533
10,74;0,6156
10,78;0,9479
10,82;0,9499
10,86;0,9517
10,9;0,9533
10,94;0,9538
10,98;0,9538
11,02;0,9445
11,06;0,9304
11,1;1,0192
11,14;0,8905
11,18;0,8594
11,22;0,5895
11,26;0,4947
11,3;0,4623
11,42;0,5264
11,46;1,1778
11,5;1,195
11,54;1,1341
11,58;1,1296
11,62;0,4842
11,66;1,1907
11,7;1,1692
11,74;1,164
11,78;1,0957
11,82;1,1941
11,86;1,0679
11,9;1,1083
11,94;1,1009
11,98;1,039
12,02;1,0793
12,06;1,0589
12,1;1,0786
12,14;1,0901
12,18;1,0553
12,22;0,1239
12,26;0,169
12,3;0,1606
12,34;0,1734
12,38;0,1555
12,42;0,1106
12,46;0,1708
12,5;0,1574
12,54;0,157
12,58;0,1565
12,62;0,147
12,66;0,1419
12,7;0,1458
12,74;0,1514
12,78;0,1675
12,82;0,1717
12,86;0,1468
12,9;0,1466
12,94;0,147
12,98;0,1568
13,02;0,1882
13,06;0,1722
13,1;0,1912
13,14;0,1958
13,18;0,1959
13,22;0,2017
13,26;0,2018
13,3;0,2021
13,34;0,2022
13,38;0,1979
13,42;0,1936
13,46;0,1935
13,5;0,1518
13,54;0,2175
13,58;0,1781
13,7;0,1241
13,74;0,15
13,78;0,1946
13,82;0,2399
13,86;0,2904
13,9;0,3879
13,94;0,4005
13,98;0,4554
14,1;0,6593
14,14;0,7419
14,18;1,3549
14,22;0,9085
14,26;0,955
14,3;0,9795
14,34;0,9829
14,38;0,9717
14,42;0,9669
14,46;0,9589
14,5;0,9567
14,54;0,9599
14,58;0,9627
14,62;0,9609
14,66;0,954
14,7;0,9534
14,74;0,9543
14,78;0,9273
14,82;1,0037
14,86;0,9414
14,9;0,9253
14,94;0,9947
14,98;0,9981
15,02;0,4543
15,06;0,9462
15,1;0,463
15,14;0,8667
15,18;0,4713
15,22;0,829
15,26;0,8966
15,3;0,8111
15,34;0,8274
15,38;0,8769
15,42;0,8621
15,46;0,7974
15,5;0,8676
15,54;0,8149
15,58;0,8257
15,62;0,4852
15,66;0,7754
15,7;0,4357
15,74;0,4755
15,78;0,4681
15,82;0,4327
15,86;0,6526
15,9;0,6172
15,94;0,5674
15,98;0,5388
16,02;0,5132
16,06;0,9005
16,1;1,1824
16,14;1,1738
16,18;1,1781
16,22;1,178
16,26;1,1826
16,3;1,1781
16,34;1,1738
16,38;1,1738
16,42;1,1738
16,46;1,1737
16,5;1,1737
16,54;1,1694
16,58;1,1694
16,62;1,1694
16,66;1,1695
16,7;1,1651
16,74;1,1694
16,78;1,1653
16,82;1,1611
16,86;1,1693
16,9;1,1778
16,94;0,182
16,98;0,1137
17,1;0,1111
17,14;0,1127
17,18;0,1574
17,22;0,1611
17,26;0,1648
17,3;0,1603
17,34;0,1602
17,38;0,1645
17,42;0,1813
17,46;0,2237
17,5;0,2405
17,54;0,1816
17,58;0,1651
17,62;0,1117
17,66;0,1136
17,7;0,1651
17,9;1,1821
17,94;1,1865
17,98;1,1865
18,02;1,1865
18,06;1,1864
18,1;1,1864
18,14;1,1864
18,18;1,1865
18,22;1,1865
18,26;1,1865
18,3;1,1866
18,34;1,1865
18,38;1,1865
18,42;1,1865
18,46;1,1865
18,5;1,1865
18,54;1,1821
18,58;1,1821
18,62;1,1821
18,66;1,1822
18,7;1,1822
18,74;1,1821
18,78;1,1821
18,82;1,182
18,86;1,182
18,9;1,182
18,94;1,182
18,98;1,1819
19,02;1,1776
19,06;0,1689
19,34;1,1773
19,38;1,173
19,42;1,173
19,46;1,1729
19,5;0,9038
19,54;1,1729
19,58;1,1729
19,62;0,8288
19,66;0,4207
19,7;1,177
19,74;0,1651
19,86;0,1951
19,9;0,1914
19,94;0,1168
19,98;0,1729
20,1;0,2564
20,14;0,252
20,18;0,1799
20,22;0,1846
20,26;0,1757
20,3;0,1756
20,34;0,1755
20,38;0,1754
20,42;0,1797
20,46;0,1839
20,5;0,1838
20,54;0,2052
20,58;0,2447
20,62;0,1937
20,66;0,1721
20,7;0,186
20,74;0,187
20,86;0,1136
21,26;0,1137
21,3;0,1138
21,34;0,1158
21,38;0,1178
21,42;0,1217
21,46;0,2098
21,5;0,2267
21,54;0,2139
21,58;0,2096
21,62;0,2055
21,66;0,1969
21,7;0,2012
21,74;0,2012
21,78;0,1969
21,82;0,1969
21,86;0,1969
21,9;0,1969
21,94;0,1967
21,98;0,1926
22,02;0,1797
22,06;0,1925
22,1;0,1882
22,14;0,1926
22,18;0,1925
22,22;0,2016
22,26;0,1974
22,3;0,1883
22,34;0,1929
22,38;0,1974
22,42;0,1929
22,46;0,2106
22,5;0,2594
22,54;0,2547
22,58;0,1842
22,62;0,255
22,74;0,1298
22,78;0,2148
22,82;0,1253
22,86;0,2059
23,02;0,1253
23,06;0,2274
23,1;0,1253
23,14;0,1254
23,18;0,1234
23,3;0,1211
23,34;0,1254
23,38;0,1253
23,42;0,1254
23,46;0,1254
23,58;0,2495
23,62;0,1254
23,74;0,1234
23,78;0,1234
23,9;0,171
24,02;0,1256
24,06;0,1367
24,1;0,1323
24,14;0,13
24,18;0,1279
24,22;0,1299
24,26;0,1255
24,3;0,1255
24,34;0,1255
24,5;0,1926
24,54;0,1212
24,58;0,1211
24,62;0,1211
24,66;0,2145
24,7;0,2362
25,02;0,1255
25,06;0,13
25,1;0,1299
25,14;0,1299
25,18;0,1298
25,22;0,1299
25,62;0,2545
25,66;0,1279
25,7;0,1299
25,74;0,1279
25,78;0,1299
25,82;0,1299
25,86;0,1279
25,9;0,1279
25,94;0,1299
26,38;0,114
26,5;0,1778
26,54;0,2093
26,58;0,2547
26,7;0,428
26,74;0,4707
26,78;0,5353
26,82;0,6005
26,86;0,6806
26,9;0,7563
26,94;0,8368
26,98;0,9167
27,02;0,9447
27,06;0,9583
27,1;0,9586
27,14;0,9575
27,18;0,951
27,22;0,9439
27,26;0,9457
27,3;0,9479
27,34;0,9496
27,38;0,9556
27,42;0,9449
27,46;0,9437
27,5;0,9388
27,54;0,9431
27,58;0,9388
27,62;0,9431
27,66;0,5342
27,7;0,6396
27,74;0,6046
27,78;0,7274
27,82;0,7975
27,86;0,8161
27,9;0,9475
27,94;0,9388
27,98;0,9473
28,02;0,9476
28,06;0,8165
28,1;0,9519
28,14;0,9518
28,18;0,9474
28,22;0,9474
28,26;0,9473
28,3;0,947
28,34;0,9446
28,38;0,9371
28,42;0,9356
28,46;0,9328
28,5;0,8847
28,54;0,8409
28,58;0,877
28,62;0,8602
28,66;0,776
28,7;0,773
28,74;0,6954
28,78;1,0888
28,82;0,6401
28,86;0,6158
28,9;1,1118
28,94;0,4535
28,98;0,4216
29,02;1,1396
29,06;1,1734
29,1;1,1467
29,14;1,1005
29,18;1,1646
29,22;1,115
29,34;1,1732
29,38;1,1731
29,42;1,1731
29,46;1,1732
29,5;1,1732
29,54;1,1733
29,58;1,1645
29,62;1,1515
29,66;1,1429
29,7;1,1984
29,74;1,092
29,78;1,1046
29,82;1,0872
29,86;1,082
29,9;1,1773
29,94;1,1769
29,98;1,1672
30,02;1,0907
30,06;1,1905
30,1;1,2161
30,14;0,6335
30,18;0,6591
30,22;0,1784
30,26;0,183
30,3;0,112
30,42;0,1646
30,46;0,1722
30,5;0,2241
30,54;0,1135
30,7;0,2242
30,74;0,2325
30,78;0,1281
30,82;0,1315
30,86;0,1574
30,9;0,1531
30,94;0,1574
30,98;0,1574
31,02;0,1574
31,06;0,1574
31,1;0,1791
31,14;0,211
31,18;0,1869
31,22;0,1313
31,26;0,1983
31,38;0,1794
31,42;0,2157
31,46;0,2482
31,5;0,3069
31,54;0,3939
31,58;0,4165
31,62;0,4754
31,66;0,55
31,7;0,6108
31,74;0,6832
31,78;0,7579
31,82;0,8346
31,86;0,9043
31,9;0,928
31,94;0,9306
31,98;0,9342
32,02;0,9332
32,06;0,9359
32,1;0,9299
32,14;0,9246
32,18;0,9245
32,22;0,9289
32,26;0,9291
32,3;0,9335
32,34;0,9335
32,38;0,9335
32,42;0,9335
32,46;0,9335
32,5;0,5851
32,54;0,6324
32,58;0,7957
32,62;0,8083
32,66;0,87
32,7;0,9249
32,74;0,9293
32,78;0,9249
32,82;0,9249
32,86;0,9293
32,9;0,9293
32,94;0,9335
32,98;0,9356
33,02;0,9239
33,06;0,9099
33,1;0,9295
33,14;0,894
33,18;0,805
33,22;0,7427
33,26;0,7249
33,3;0,6979
33,34;0,7075
33,38;0,6087
33,42;0,5725
33,46;0,5561
33,5;1,1858
33,54;1,1903
33,58;1,186
33,62;1,186
33,66;1,1861
33,7;1,1861
33,74;1,186
33,78;1,1904
33,82;1,186
33,86;1,186
33,9;1,186
33,94;1,186
33,98;1,1862
34,02;1,186
34,06;1,1818
34,1;1,1775
34,14;1,1903
34,18;1,1818
34,22;1,1861
34,26;1,186
34,3;1,1861
34,34;1,1861
34,38;1,1862
34,42;1,1862
34,46;1,1862
34,5;1,1862
34,54;1,1862
34,58;1,1861
34,62;1,1862
34,66;1,1862
34,7;1,1862
34,74;1,1862
34,78;1,1862
34,82;1,1862
34,86;1,1862
34,9;1,1862
34,94;1,1862
34,98;1,1862
